@RELATION svmTaps
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {a,enter,space}

@DATA
0.107985,0.009961,2.989193,0.246343,0.274182,0.707129,0.002899,0.102302,-24.770309,1.533995,0.115373,0.894767,0.453270,0.402702,0.231131,-0.230596,-0.096202,-0.221800,0.089407,0.255564,0.031237,0.010830,0.002237,0.071157,0.010621,0.056323,0.004740,0.030958,0.003925,0.002473,0.007246,0.028907,0.001357,0.024961,0.025018,0.011614,0.294526,0.041666,0.026737,0.368860,0.002756,0.059005,0.894240,0.467394,0.225622,0.120900,0.134771,0.301843,0.168925,0.169384,0.185461,0.162822,0.154877,0.186243,0.121476,0.006950,0.002303,0.022492,0.008391,0.022359,0.002887,0.019178,0.002951,0.001431,0.004890,0.027664,0.000812,0.007064,a
0.116511,0.008251,3.081036,0.256613,0.280275,0.737735,0.001941,0.108654,-24.499291,1.578230,0.149423,0.755526,0.404330,0.161299,0.119522,-0.297233,-0.114668,-0.178924,0.085230,0.236025,-0.003295,0.015737,0.002247,0.062553,0.012324,0.051442,0.007091,0.036917,0.004834,0.004928,0.007777,0.022221,0.001731,0.024454,0.034256,0.007088,0.218586,0.039097,0.022923,0.278375,0.001230,0.046573,0.728469,0.355845,0.318099,0.118629,0.220813,0.271141,0.196347,0.167995,0.149725,0.154819,0.193367,0.201213,0.107840,0.013800,0.001804,0.040618,0.007807,0.022993,0.004183,0.019157,0.001930,0.002882,0.004419,0.024201,0.000960,0.007714,a
0.129883,0.010523,3.152213,0.273570,0.288046,0.811965,0.001694,0.132534,-24.681537,1.560364,0.077316,0.598048,0.615795,0.151667,0.076667,-0.170113,-0.038864,-0.051715,0.171945,0.345207,0.157622,0.007379,0.002365,0.040425,0.013330,0.068922,0.008527,0.061708,0.004531,0.004459,0.007769,0.017565,0.001955,0.026145,0.030571,0.022282,0.129138,0.041032,0.020471,0.241053,0.001197,0.054641,0.833269,0.212371,0.260229,0.135635,0.255616,0.240126,0.111793,0.117763,0.143031,0.120570,0.170253,0.099489,0.157952,0.005745,0.001854,0.020248,0.012282,0.023563,0.005779,0.030833,0.003722,0.002428,0.005282,0.010037,0.000957,0.004010,a
0.125800,0.013890,3.064275,0.267193,0.286026,0.754127,0.002650,0.123699,-24.438897,1.688672,0.133661,0.667006,0.503923,0.204000,0.171569,-0.247388,-0.131726,-0.098366,0.146440,0.252751,0.105796,0.008460,0.001414,0.054622,0.014023,0.063563,0.008661,0.036684,0.006175,0.003214,0.008064,0.026591,0.002375,0.024522,0.034540,0.022950,0.311878,0.046003,0.023471,0.266791,0.002990,0.070094,0.974828,0.242280,0.222131,0.152984,0.187417,0.265383,0.117025,0.140106,0.142626,0.174906,0.167693,0.180068,0.106718,0.006722,0.000891,0.035418,0.009366,0.021057,0.003380,0.017009,0.004091,0.002637,0.006892,0.025671,0.001555,0.006736,a
0.129740,0.006486,3.046284,0.258556,0.277414,0.842788,0.001879,0.126039,-24.959263,1.369449,0.063922,0.774928,0.465511,0.262764,0.170404,-0.346745,-0.099649,-0.092373,0.154114,0.311343,0.064411,0.006295,0.002892,0.039802,0.014400,0.066143,0.012052,0.022366,0.006222,0.004366,0.008584,0.016593,0.003017,0.020702,0.032195,0.008240,0.389285,0.043827,0.028927,0.368008,0.001051,0.048185,0.943149,0.368437,0.299093,0.231972,0.252683,0.349002,0.166423,0.154266,0.132488,0.168236,0.173019,0.121526,0.120699,0.003250,0.002481,0.026942,0.007679,0.026141,0.010033,0.015418,0.003744,0.002359,0.007792,0.009293,0.001952,0.006664,a
0.125203,0.013261,3.071396,0.258199,0.279203,0.811317,0.002392,0.131913,-23.690428,1.396275,0.044598,0.811471,0.337187,0.228975,0.241671,-0.186431,-0.058987,-0.118435,0.130172,0.257958,-0.023189,0.008197,0.002343,0.064352,0.010094,0.053416,0.006237,0.030187,0.006379,0.004786,0.009051,0.015851,0.002431,0.022738,0.032517,0.009394,0.296874,0.039358,0.021638,0.339875,0.001703,0.074161,0.765794,0.291465,0.257589,0.155888,0.206907,0.252827,0.243469,0.233038,0.144822,0.173871,0.155876,0.181656,0.148333,0.005030,0.001366,0.036407,0.008415,0.023815,0.003315,0.019370,0.003556,0.003162,0.006586,0.016568,0.002077,0.009558,a
0.133991,0.010545,3.100874,0.266129,0.278524,0.895350,0.001919,0.149250,-24.390472,1.366049,0.016270,0.820027,0.475791,0.249816,0.128937,-0.296714,-0.029099,-0.117322,0.083738,0.313032,0.054012,0.007232,0.002685,0.030656,0.018507,0.073499,0.007012,0.022440,0.005637,0.003382,0.007827,0.020716,0.002337,0.021779,0.034828,0.014064,0.259772,0.042111,0.025927,0.313512,0.001173,0.057045,0.878154,0.222583,0.284660,0.139069,0.293199,0.291654,0.198516,0.127554,0.189533,0.162627,0.123850,0.185975,0.146294,0.002980,0.001761,0.016662,0.017277,0.025678,0.004999,0.008638,0.004368,0.002139,0.004202,0.019310,0.001331,0.006128,a
0.121573,0.014220,3.141924,0.269086,0.286927,0.729007,0.001784,0.111615,-23.988959,1.659013,0.170951,0.642159,0.564896,0.230058,0.099147,-0.256951,-0.098616,-0.096978,0.058319,0.152888,0.000431,0.012143,0.001628,0.067533,0.010951,0.064571,0.005498,0.045246,0.005683,0.003667,0.007270,0.015438,0.002258,0.025969,0.023312,0.017710,0.154243,0.039136,0.020030,0.195368,0.001238,0.035770,0.912288,0.222709,0.259936,0.146247,0.089636,0.270491,0.098300,0.144602,0.169263,0.121012,0.163200,0.134865,0.089052,0.008521,0.000917,0.018661,0.008447,0.024688,0.002494,0.021670,0.003294,0.003250,0.003690,0.012682,0.001123,0.003924,a
0.126110,0.009834,3.152792,0.264636,0.282045,0.821190,0.001742,0.129191,-24.852505,1.497651,-0.023333,0.742046,0.461351,0.219540,0.123812,-0.187611,0.083004,-0.067247,0.108459,0.301197,0.044280,0.007887,0.002953,0.053672,0.015065,0.063838,0.006976,0.026250,0.005091,0.004587,0.007415,0.021567,0.002158,0.022907,0.034555,0.018986,0.178422,0.044971,0.025897,0.352893,0.001091,0.055589,0.930047,0.269824,0.198336,0.222659,0.253464,0.374925,0.142326,0.129727,0.181807,0.152459,0.144783,0.169438,0.144473,0.003641,0.001579,0.030609,0.010962,0.022414,0.004069,0.013918,0.003166,0.002396,0.004338,0.015146,0.001038,0.005044,a
0.112690,0.012522,3.078008,0.258561,0.284806,0.663395,0.003108,0.096332,-24.452978,1.718322,0.215447,0.729995,0.434227,0.203237,0.215076,-0.249073,-0.120686,-0.093366,0.049936,0.210692,0.047386,0.010292,0.001678,0.078045,0.019045,0.060392,0.007134,0.033234,0.005543,0.002290,0.007472,0.023350,0.001643,0.028873,0.028391,0.020686,0.218161,0.037635,0.016855,0.247752,0.003408,0.045189,0.736037,0.168213,0.248066,0.188521,0.131926,0.261748,0.129557,0.149759,0.213674,0.090710,0.128803,0.119326,0.163424,0.005131,0.000722,0.028937,0.021916,0.028813,0.004393,0.025549,0.003086,0.001160,0.004090,0.031870,0.000794,0.007031,a
